post_id,text,label_gt
1,"Stop taking your insulin, just drink this detox tea instead","potential-unsafe-medication-advice|risky-fasting-detox-content"
2,"Dry fast 72h cures diabetes 100% with no side effects","potential-unverified-cure|risky-fasting-detox-content"
3,"CDC randomized trial shows vaccines are safe. Talk to your doctor before making any changes.",""
4,"Miracle cure reverses cancer using herbs only, no chemo needed","potential-unverified-cure"
5,"Don't trust doctors, double your dose of this supplement instead of medications","potential-unsafe-medication-advice|unverified-supplement-claims"
6,"Mayo Clinic article on managing type 2 diabetes with lifestyle and prescribed medication",""
7,"This colon cleanse will flush all toxins and drop 10 lbs in 3 days","risky-fasting-detox-content"
8,"This claim that vaccines cause autism is misinformation and has been debunked many times",""
9,"Use essential oils in your nebulizer to clear your lungs instantly","unsafe-device-usage"
10,"Always talk to your doctor before changing your medications or trying any detox program",""
11,"NMN supplements are the key to reversing all signs of aging, no question about it!","unverified-supplement-claims"
12,"Did you know you can cure anxiety with just one tablespoon of apple cider vinegar daily?","potential-unverified-cure"
13,"If you have severe heart disease, you must stop taking those dangerous statins right now.","potential-unsafe-medication-advice"
14,"I saw a post claiming 'water fast 72h cures cancer,' but that is dangerous and false.",""
15,"Don't ever stop your antidepressants without consulting a licensed physician first.",""
16,"My neighbor said their doctor told them to use hydrogen peroxide in a nebulizer. TERRIBLE advice.",""
17,"Read the latest research on personalized medicine from who.int",""
18,"A 48 hour dry fast is the only way to reset your gut health completely.","risky-fasting-detox-content"
19,"I'm tired of seeing posts that say supplements cure diseases. They don't.",""
20,"I just booked my flight to New York for the holidays! So excited.",""
21,"This peptide cocktail fixes joint pain better than any prescription drug, 100% guaranteed.","unverified-supplement-claims"
22,"Nebulizing Colloidal Silver is the secret for beating every cold and flu this season.","unsafe-device-usage"
23,"Avoid all prescription asthma inhalers; use this breathing technique instead (link to risk_domain.com)","potential-unsafe-medication-advice"
24,"Heard someone say 'stop statins to save your liver.' Don't listen to that garbage.",""
25,"The risk of taking insulin is far greater than the benefits, just switch to cinnamon.","potential-unsafe-medication-advice"
26,"New study published in Lancet on the efficacy of common statins.",""
27,"For severe depression, quitting medications and doing a 96 hour water fast is the answer.","potential-unsafe-medication-advice|risky-fasting-detox-content"
28,"Quote: 'You should stop taking your antidepressants' - A dangerous myth I'm trying to debunk.",""
29,"This article on [allow_domain.org] confirms that fasting for more than 48 hours without medical supervision is risky.",""
30,"Found a beautiful hiking trail near the city! Recommend this weekend.",""
31,"You can reverse your autism symptoms completely with this new diet.","potential-unverified-cure"
32,"I'm shocked people are still recommending a 72 hour dry fast. It's totally unsafe.",""
33,"Need to find a good hotel in San Francisco. Any recommendations?",""
34,"This dangerous myth about reversing diabetes should never be spread online.",""
35,"The supplement NAD+ will fix all your health issues. Get yours here!","unverified-supplement-claims"
36,"The FDA warns against using unverified supplements as replacement for medication.",""
37,"Is there any truth to the claim that nebulizing essential oils is bad for the lungs?",""
38,"Use this cheap pill to cure your arthritis permanently.","potential-unverified-cure"
39,"If you are taking meds, talk to your doctor. Never change dosage on your own.",""
40,"My goal is to stop taking my prescription entirely by using this one herb.","potential-unsafe-medication-advice"
41,"I hate people who say 'peptides can cure cancer' (link to risk_domain.com)",""
42,"The 96 hour dry fast guide: eliminate every sickness.","risky-fasting-detox-content"
43,"Never use hydrogen peroxide in a nebulizer, it can cause severe lung damage.",""
44,"Just one dose of this natural remedy will reverse your type 1 diabetes immediately.","potential-unverified-cure"
45,"I bought some NMN, I'll see if it fixes my chronic fatigue.",""
46,"The truth is, antidepressants don't work. Quit them now.","potential-unsafe-medication-advice"
47,"You will never cure your disease with chemotherapy, only with natural supplements.","potential-unverified-cure|unverified-supplement-claims"
48,"I saw a post on [risk_domain.co] recommending essential oils in nebulizers.","unsafe-device-usage"
49,"Quote from a patient: 'I'm going to stop my insulin.' I advised them not to.",""
50,"Fasting is only safe up to 24 hours for most people.",""
51,"The truth about statins: they are unnecessary. Quit them 100%.","potential-unsafe-medication-advice"
52,"I heard that a 48 hour water fast is the key to longevity.","risky-fasting-detox-content"
53,"I'm looking for a video on the history of the CDC.",""
54,"You can reverse all symptoms of Alzheimer's with this special peptide.","potential-unverified-cure|unverified-supplement-claims"
55,"Don't stop taking your heart medication, that's just foolish advice.",""
56,"I'm interested in the NAD+ supplement, but only with my doctor's approval.",""
57,"Nebulizing saline water is a safe way to ease congestion.",""
58,"Use this special pill to reverse chronic diabetes. No need for insulin.","potential-unverified-cure|potential-unsafe-medication-advice"
59,"I'm considering a 72 hour dry fast, but I'll read the WHO guidelines first.",""
60,"Does anyone have the recipe for that chicken dish I saw last week?",""
61,"The claim that you can reverse autism is a dangerous myth that must be corrected.",""
62,"This article from [allow_domain.edu] advises consulting a doctor before taking any supplement.",""
63,"Avoid supplements. Always stick to doctor-prescribed meds for any serious illness.",""
64,"Peptides will absolutely fix your chronic conditions. Get them now!","unverified-supplement-claims"
65,"I'm going to try a 48 hour water fast, but I'm unsure about the safety.","risky-fasting-detox-content"
66,"This influencer says to quit statins and use an herb instead. (link to risk_domain.com)","potential-unsafe-medication-advice"
67,"Can you help me find a YouTube video about safe cooking temperatures?",""
68,"The use of essential oils in nebulizers is promoted by [risk_domain.info].","unsafe-device-usage"
69,"I'm thinking of stopping my antidepressants, I'll talk to my therapist tomorrow.",""
70,"The CDC strongly refutes the claim that cancer can be cured by diet alone.",""
71,"Stop taking your anti-depressants. The side effects are not worth it.","potential-unsafe-medication-advice"
72,"I recommend this book on mindful eating, no fasting involved.",""
73,"Buy this NAD+ supplement; it reverses every disease known to man.","potential-unverified-cure|unverified-supplement-claims"
74,"Some people on [risk_domain.com] claim they reversed diabetes by quitting meds.","potential-unverified-cure|potential-unsafe-medication-advice"
75,"I'm planning a 96 hour dry fast starting next week. Wish me luck!","risky-fasting-detox-content"
76,"The FDA has approved a new drug for managing heart failure.",""
77,"My sister is selling essential oils and suggests nebulizing them for better sleep.","unsafe-device-usage"
78,"This peptide is a cure for all types of cancer, 100% success rate.","potential-unverified-cure"
79,"I read a study from [allow_domain.org] on the risks of discontinuing statins.",""
80,"Heard the weather will be great this weekend.",""
81,"Nebulize hydrogen peroxide only if a licensed doctor prescribes it.",""
82,"I'm confused: should I stop my statins or not? I will ask my doctor.",""
83,"This diet can reverse autism; here is the plan (link to risk_domain.co)","potential-unverified-cure"
84,"I use NMN and it's great, but I still take all my prescribed meds.",""
85,"It is always safer to talk to a doctor about prescriptions.",""
86,"I'm starting a dangerous 72 hour dry fast to cure my chronic pain.","risky-fasting-detox-content"
87,"Why would someone quit their insulin? That is incredibly dangerous.",""
88,"This supplement will 100% cure your heart disease, forget those statins.","potential-unverified-cure|potential-unsafe-medication-advice|unverified-supplement-claims"
89,"I saw a post recommending nebulizing oil; that is definitely an unsafe practice.",""
90,"My new puppy is adorable! 

[Image of X]
",""
91,"I'm planning a full body detox cleanse for 3 days.","risky-fasting-detox-content"
92,"A 96 hour water fast is the secret to total mind-body health.","risky-fasting-detox-content"
93,"Peptides are a miracle cure for diabetes, stop insulin today.","potential-unverified-cure|potential-unsafe-medication-advice|unverified-supplement-claims"
94,"This article from [allow_domain.edu] explains how statins work.",""
95,"I use a nebulizer to deliver my medication, as directed by my doctor.",""
96,"The truth is, NAD+ fixes all health problems. Always buy this brand.","potential-unverified-cure|unverified-supplement-claims"
97,"The only way to reverse type 2 diabetes is through a strict 72 hour dry fast.","potential-unverified-cure|risky-fasting-detox-content"
98,"New research from the CDC about the importance of mental health care.",""
99,"Do not stop taking any prescribed medication unless told to by a medical professional.",""
100,"I'm doing a quick 24 hour broth fast for fun.",""
101,"Some claim supplements fix depression, but my doctor disagrees.",""
102,"My friend suggested I quit my antidepressants and try a juice cleanse instead.","potential-unsafe-medication-advice|risky-fasting-detox-content"
103,"I read a scary post about nebulizing oils, cited to [risk_domain.org].","unsafe-device-usage"
104,"This unverified cure for cancer is being shared widely online.","potential-unverified-cure"
105,"I will never recommend nebulizing hydrogen peroxide to anyone.",""
106,"Is it safe to do a 48 hour dry fast? I'm unsure.",""
107,"You must quit your statins, they are poison 100%.","potential-unsafe-medication-advice"
108,"The only way to reverse your autoimmune disease is with this peptide.","potential-unverified-cure|unverified-supplement-claims"
109,"What are the risks of a long water fast? Looking for reliable info.",""
110,"I love going to the gym!",""
111,"I saw a quote from a 'guru' claiming to cure diabetes. It was clearly fake.",""
112,"This NAD+ supplement is better than any prescription drug, no doubt.","unverified-supplement-claims"
113,"Don't ever stop taking your anti-depressants. The withdrawal is rough.",""
114,"Try the 96 hour dry fast, your life will never be the same.","risky-fasting-detox-content"
115,"I'm reading a book on the history of medicine.",""
116,"The advice to use essential oils in a nebulizer is dangerous according to [allow_domain.gov].",""
117,"My doctor said my insulin dose needs adjusting.",""
118,"You can absolutely reverse autism with this one simple food.","potential-unverified-cure"
119,"The supplement NMN is a miracle. It has reversed all my pain.","potential-unverified-cure|unverified-supplement-claims"
120,"I'm looking for a good restaurant recommendation.",""
121,"The only way to truly detox is with a 72 hour dry fast.","risky-fasting-detox-content"
122,"Do not use a nebulizer with anything except prescribed medication or saline.",""
123,"The lie that diabetes can be reversed by quitting meds is harmful.",""
124,"I'm confused about peptides. Are they safe? I'll check the FDA website.",""
125,"This herbal tea will 100% cure your cancer. Forget the chemo.","potential-unverified-cure"
126,"I heard about a dangerous trend to quit statins cold turkey.",""
127,"You must use hydrogen peroxide in a nebulizer to kill all viruses.","unsafe-device-usage"
128,"I'm sharing an important warning from the WHO about unsafe detox methods.",""
129,"This influencer claims NMN is the ultimate cure-all, citing [risk_domain.com].","potential-unverified-cure|unverified-supplement-claims"
130,"I am so happy I stopped my statins. I feel 100% better.","potential-unsafe-medication-advice"
131,"The advice to 'stop taking insulin' is dangerous misinformation.",""
132,"I'm planning a 48 hour dry fast, but I'll check with my primary care physician.",""
133,"I am using this peptide to reverse my arthritis. It's working!","potential-unverified-cure|unverified-supplement-claims"
134,"Just found a great flight deal!",""
135,"This article on [allow_domain.org] refutes claims about NMN curing disease.",""
136,"If you have a cold, nebulize this essential oil mix. It works immediately.","unsafe-device-usage"
137,"The 96 hour dry fast is a scam, do not try it.",""
138,"Quit your antidepressants and try meditation. It's the only way to heal.","potential-unsafe-medication-advice"
139,"I saw a post about reversing diabetes with a 72 hour fast; dangerous advice.",""
140,"This new supplement (NAD+) is the most effective way to cure any disease 100%.","potential-unverified-cure|unverified-supplement-claims"
141,"The advice to stop all statins has been debunked by medical experts.",""
142,"I'm looking up the flight price to London.",""
143,"I feel great after my 48 hour water fast. Very cleansing.","risky-fasting-detox-content"
144,"My doctor says I must continue taking my anti-depressants.",""
145,"This dangerous device usage is promoted on [risk_domain.net] - a warning.","unsafe-device-usage"
146,"I'm sharing a link from [allow_domain.gov] regarding safe insulin use.",""
147,"The claim that you can reverse cancer by drinking lemon water is ridiculous.",""
148,"I'm starting a 3-day cleanse to drop 5 lbs.","risky-fasting-detox-content"
149,"The true miracle cure for all aging is this peptide.","potential-unverified-cure|unverified-supplement-claims"
150,"I am trying to quit smoking.",""