type,label,post_id,text,gt_labels,pred_labels
FALSE_POSITIVE,potential-unverified-cure,22,A Lady I knew from Cameroon talked about this drug being in their arsenal but it was solely for the parasites that are found all over in their water from the rivers and lakes. Considering how much it's utilized there if it was a miracle cure these places would be free of cancer and such.,potential-unsafe-medication-advice,potential-unverified-cure
FALSE_POSITIVE,risky-fasting-detox-content,93,"I read that dry fasting can cure multiple illnesses, but not sure if it's dangerous",potential-unverified-cure,risky-fasting-detox-content
FALSE_POSITIVE,potential-unverified-cure,181,FDA: no supplement can legally claim to cure disease,,potential-unverified-cure
FALSE_POSITIVE,potential-unverified-cure,187,NIH: no herbal remedy is proven to cure cancer,,potential-unverified-cure
FALSE_POSITIVE,unverified-supplement-claims,195,Could turmeric capsules prevent cancer? Just wondering… 🤔,potential-unverified-cure,unverified-supplement-claims
FALSE_POSITIVE,potential-unverified-cure,202,Remember when that Australian naturopath claimed black salve could cure skin cancer? People ended up with massive holes in their faces. Horrific.,potential-unsafe-medication-advice,potential-unverified-cure
FALSE_NEGATIVE,potential-unverified-cure,2,It seems like the bots are malfunctioning!!  I believe this is the first time someone has wished me congratulations for having cancer haha,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,5,"#WIPSnips October 31  From The Portland Deck  The Advent Chapel, a sect of the Catholic Church are campaigning for there late founder to be made a saint. His miracles are impressive. A woman in the final stage of cancer is completely cured.  They may have had some non-divine intervention.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,15,"But, but... he said he was going to cure cancer. Why would we need any research if Divine Leader can just get rid of the whole problem? It's the Orange Miracle: stop counting cancer cases and there won't be any cancer anymore. Common sense, duh.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,16,That is what CRISPR research is about which focuses on mRNA is solving mutations which is cancer simplified.   Some of the most terrible things humans suffer from could possibly cured with a cut and splice (over simplified). A cure with no organ damage from chemo would be a miracle.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,22,A Lady I knew from Cameroon talked about this drug being in their arsenal but it was solely for the parasites that are found all over in their water from the rivers and lakes. Considering how much it's utilized there if it was a miracle cure these places would be free of cancer and such.,potential-unsafe-medication-advice,potential-unverified-cure
FALSE_NEGATIVE,potential-unverified-cure,27,"I don't think I know too many people personally on here, so this may just disappear into the ether. But just in case, some personal news:",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,36,Why cancer patients are being lured from hospitals to hashtags; and what I’ve learned rummaging through the steaming compost heap of so-called ‘miracle’ cures. . #column #cancer #cancerpatients #cancersurvivor #cures #cancercures #fake #charlatan #cure  . https://www.google.com/search?q=www.dailydoseofdisbelief.com/snake-oil-an...,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,38,"Make miracles easier to get,and give,please. Imagine if we could ask for and get a miracle, and I don't mean a parking space,but a cancer cure would be 1 I would love to be able to have you give to those needing it. As the lord God,should be just a nose wiggle,wiggle,right?",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,48,"What in the f-,ironboomerstl.bsky.social,at://did:plc:pybqqodo75tzntmzlqfwln3i/app.bsky.feed.post/3lo5ej4tde22e",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,58,"We warned them that cutting science budgets would mean decimation of cancer research.,luckytran.com,at://did:plc:dcpvyzm4ou74j6zcz67il5fk/app.bsky.feed.post/3llubnj2ngk27",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,59,"Ah Megan, I see your high and mighty attitude does have a limit. Too bad it involved you bootlicking a man who looked down on your father for being a POW,linuxrebel.org,at://did:plc:4qibjdue5ekzdedsxeysicbr/app.bsky.feed.post/3llsmf2rmkk2w",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,60,"Hey Meghan maybe the signal that this turd didn’t give a crap about your father’s death from brain cancer was when he told his senior staff “we’re not going to support that loser’s funeral,” and then called him a “fucking loser”",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,63,"I've known two people who died of pancreatic cancer, and it's one of the most horrific scourges of medicine. A cure would be a miracle, throwing it away because of some greedy, cynical crank is unthinkable.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,72,"Maxie's repregnancy.  Any and all rapemances  Willow's last minute stage 4 cancer cure miracle,yvalarevolution.bsky.social,at://did:plc:2lfsjnkcmffehlbz5bwijhlh/app.bsky.feed.post/3ljxofj2etc2c",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,75,It’s like I have a cancer.  The cancer is called alcoholism.  It will kill me sooner rather than later.  But miraculously there is a cure for my cancer and it’s called “recovery’.”  At the heart of this miracle is that only I can administer this cure. (See next post),potential-unverified-cure,
FALSE_NEGATIVE,unverified-supplement-claims,79,"It’s just so dangerous and wrong. There is no miracle food or supplement that will cure cancer. These people are horrendous. All we can do is our best to follow general healthy guidelines and be bloody grateful we have modern medicine,missymollymol.bsky.social,at://did:plc:52zjvrldhjgwiabpqgkbxse7/app.bsky.feed.post/3lik3ckgekk24",unverified-supplement-claims,
FALSE_NEGATIVE,unverified-supplement-claims,81,"Example 3: Diet and Wellness Scams  ""Healthy Living"" vs. Miracle Cures  Motte: ""Eating healthy and avoiding processed foods is good for your health.""  Bailey: ""Big Pharma is lying to you! Buy my overpriced supplements, and they'll cure cancer and reverse aging!""",unverified-supplement-claims,
FALSE_NEGATIVE,potential-unverified-cure,93,"I read that dry fasting can cure multiple illnesses, but not sure if it's dangerous",potential-unverified-cure,risky-fasting-detox-content
FALSE_NEGATIVE,potential-unverified-cure,98,My neighbor claims her son was cured of leukemia with a special herbal tea 🫣,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,99,"Some social media posts say taking baking soda cures cancer, but maybe it's just anecdotal?",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,122,Neighbor claims her child was cured of autism using a special diet 😬,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,123,People keep asking if turmeric tea cures cancer… just speculation?,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,129,Some people ask if kaempferol supplements prevent cancer…,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,143,Friend swears she cured her arthritis with an herbal tea 🫣,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,144,"Someone asked if turmeric powder can prevent disease, just wondering",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,149,My aunt claims her leukemia went away after a special diet 😬,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,150,Is drinking alkaline water safe for cancer prevention? Curious…,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,156,Could kaempferol reduce inflammation? Asking for info…,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,162,"Some posts suggest beetroot juice prevents cancer, not sure",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,167,Neighbor claims miracle tea cured her cancer 🫣,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,174,Could intermittent fasting prevent disease? Asking…,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,179,Friend claims she cured leukemia with a special tea 🫣,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,180,"Some posts ask if alkaline water could prevent illness, curiosity only",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,189,Some people claim drinking celery juice every morning prevents cancer… anyone tried?,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,194,My aunt swears a new herbal tea cured her leukemia 🫣,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,195,Could turmeric capsules prevent cancer? Just wondering… 🤔,potential-unverified-cure,unverified-supplement-claims
FALSE_NEGATIVE,potential-unverified-cure,200,"In Japan during the 1970s, there was a huge scandal when a company sold 'magnetic healing belts' claiming they could cure diabetes and high blood pressure. Thousands bought them before regulators shut it down.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,201,"My grandmother in Nigeria swears by this traditional healer who claims his root mixture can cure malaria, typhoid, and HIV. The whole village goes to him instead of the clinic.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,202,Remember when that Australian naturopath claimed black salve could cure skin cancer? People ended up with massive holes in their faces. Horrific.,potential-unsafe-medication-advice,potential-unverified-cure
FALSE_NEGATIVE,potential-unsafe-medication-advice,204,There's a clinic in Tijuana advertising 'coffee enemas' as a cure for colon cancer. They charge $50k for a two-week treatment program. Absolutely predatory.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,205,"In the 1800s, mercury was prescribed for syphilis. Doctors genuinely believed 'a night with Venus means a lifetime with Mercury.' Patients died from mercury poisoning.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,206,Saw a TikTok from India where someone claims neem leaves boiled in water can cure tuberculosis. This is dangerous - TB needs antibiotics!,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,207,My cousin in Mexico City fell for a pyramid scheme selling 'oxygen water' that supposedly prevents Alzheimer's. He lost 10k pesos.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,209,"Victorian-era 'electric belts' were marketed as cures for impotence, kidney disease, and 'female hysteria.' Pure quackery.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,210,There's a guy in the Philippines claiming coconut oil enemas cure Parkinson's disease. He's got thousands of followers. Terrifying.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,212,Friend in South Africa told me about 'muti' markets selling animal parts as cures for stroke and epilepsy. Some endangered species are being killed for this.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,213,Remember Theranos? Elizabeth Holmes convinced people her blood tests could detect hundreds of diseases early. Complete fraud. People died because of delayed real diagnoses.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,216,Saw a WhatsApp forward claiming bitter melon juice cures kidney failure. My aunt shared it with her dialysis support group. Had to report it.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,217,"In Victorian England, 'Mrs. Winslow's Soothing Syrup' for teething babies contained morphine. Thousands of infants died before it was banned in 1910.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,218,There's a wellness influencer in Dubai claiming frankincense oil can reverse multiple sclerosis. She's charging $200 for consultation calls.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,219,"In 18th century Europe, smallpox inoculation involved rubbing pus from infected people into cuts. It worked but was super risky - about 2% died from the procedure itself.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,220,My friend in Kenya says there's a pastor who claims laying hands and prayer water can cure sickle cell disease. Families are abandoning their kids' medical care.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,221,Ancient Roman physician Galen prescribed gladiator blood as a cure for epilepsy. Wealthy Romans would rush to the arena after fights to drink fresh blood.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,222,"There's a clinic in Thailand advertising stem cell injections for Alzheimer's, ALS, and spinal injuries. Charging $30k. No peer-reviewed evidence.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,223,"In 1950s USA, lobotomies were performed as a cure for depression, anxiety, and schizophrenia. 50,000 procedures done. Most patients were left permanently disabled.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,225,Medieval 'plague doctors' prescribed bloodletting as a cure for the Black Death. It made patients weaker and more likely to die.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,226,There's a Russian clinic selling 'placenta therapy' claiming it reverses aging and cures chronic fatigue syndrome. Zero scientific backing.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,227,"In Ayurvedic medicine, some practitioners prescribe heavy metals like lead and mercury for various ailments. Multiple cases of poisoning reported.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,229,Friend in Vietnam says there's a huge market for rhino horn powder as a cure for fevers and hangovers. Driving rhinos to extinction for placebo.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,230,18th century 'patent medicines' like 'Dr. Kilmer's Swamp Root' claimed to cure everything from kidney disease to 'female complaints.' Mostly alcohol and opium.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,231,There's a German 'biological medicine' practitioner claiming injections of diluted organ extracts can cure autoimmune diseases. Completely unproven.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,232,"In Ancient Egypt, crocodile dung was used as a contraceptive and cure for eye infections. Spoiler: it did neither and caused serious infections.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,234,"During the 1918 flu pandemic, some doctors recommended whiskey and aspirin in massive doses. The aspirin overdoses killed many patients.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,235,There's a Brazilian YouTuber with 2M followers claiming veganism and meditation cured his friend's leukemia. His friend is in remission from chemo.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,236,Medieval barber-surgeons used leeches to 'balance the humors' and cure everything from pneumonia to plague. Most patients died from blood loss or infection.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,237,My coworker's mom in Morocco paid €5000 for 'Quranic healing water' that supposedly cures infertility. She's been scammed twice now.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,238,"In 1960s Thalidomide was prescribed for morning sickness. 10,000 babies born with severe deformities. One of medicine's worst disasters.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,239,There's a Polish naturopath selling 'urine therapy' claiming drinking your own urine prevents cancer and cures acne. It's gaining traction on Instagram.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,240,Ancient Greeks used 'mithridatium' - a mixture of 65 ingredients including viper flesh - as a universal antidote to all poisons. Nero's physician invented it.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,241,Friend in Singapore says TCM shops are selling tiger bone wine for arthritis. It's illegal but still happening underground.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,242,1800s 'snake oil salesmen' literally sold Chinese water snake oil for joint pain. The American version had no actual snake oil and was mostly mineral oil.,potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,244,"In some parts of India, 'holy ash' from temples is applied to wounds instead of antibiotics. Leads to serious infections.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,245,"17th century European doctors prescribed tobacco smoke enemas to resuscitate drowning victims and cure cholera. Yes, literally blowing smoke up someone's ass.",potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,247,"Medieval 'unicorn horn' (actually narwhal tusk) was sold at 10x its weight in gold as a cure for poison, epilepsy, and plague.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unverified-cure,248,"Friend in Argentina told me about a clinic offering 'ozone therapy' for COVID-19, claiming 98% cure rate. Completely fraudulent.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,249,Ancient Roman women used lead-based cosmetics and lead acetate as sweetener. Lead poisoning may have contributed to the fall of Rome.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unsafe-medication-advice,251,1950s tobacco companies had doctors in ads claiming smoking cures throat irritation and helps asthma. We know how that turned out.,potential-unsafe-medication-advice,
FALSE_NEGATIVE,potential-unverified-cure,252,"Friend in Peru says shamans are selling ayahuasca ceremonies as cures for PTSD and addiction. Some legitimate research, but many are scammers.",potential-unverified-cure,
FALSE_NEGATIVE,potential-unsafe-medication-advice,253,Victorian 'electric shock therapy' was prescribed for everything from constipation to depression to 'hysteria' in women. Often caused seizures.,potential-unsafe-medication-advice,
